input : /root/jass/jobs/results/0014-fetch-master-games/artefacts.src/master-1600.jnnw (4738008 records, processing 592251 from offset 592251, drop_skipped=True)
  143000/592251  (24.1%)  rate=243.1 pos/s  eta=30.8 min  written=142010 skipped=990
  144000/592251  (24.3%)  rate=243.1 pos/s  eta=30.7 min  written=143003 skipped=997
  145000/592251  (24.5%)  rate=243.1 pos/s  eta=30.7 min  written=143995 skipped=1005
  146000/592251  (24.7%)  rate=243.2 pos/s  eta=30.6 min  written=144986 skipped=1014
  147000/592251  (24.8%)  rate=243.1 pos/s  eta=30.5 min  written=145978 skipped=1022
  148000/592251  (25.0%)  rate=243.2 pos/s  eta=30.4 min  written=146972 skipped=1028
  149000/592251  (25.2%)  rate=243.1 pos/s  eta=30.4 min  written=147966 skipped=1034
  150000/592251  (25.3%)  rate=243.0 pos/s  eta=30.3 min  written=148959 skipped=1041
  151000/592251  (25.5%)  rate=243.3 pos/s  eta=30.2 min  written=149951 skipped=1049
  152000/592251  (25.7%)  rate=243.1 pos/s  eta=30.2 min  written=150947 skipped=1053
  153000/592251  (25.8%)  rate=243.0 pos/s  eta=30.1 min  written=151944 skipped=1056
  154000/592251  (26.0%)  rate=243.1 pos/s  eta=30.0 min  written=152938 skipped=1062
  155000/592251  (26.2%)  rate=243.2 pos/s  eta=30.0 min  written=153935 skipped=1065
  158000/592251  (26.7%)  rate=243.4 pos/s  eta=29.7 min  written=156908 skipped=1092
  159000/592251  (26.8%)  rate=243.4 pos/s  eta=29.7 min  written=157901 skipped=1099
  160000/592251  (27.0%)  rate=243.4 pos/s  eta=29.6 min  written=158894 skipped=1106
  161000/592251  (27.2%)  rate=243.3 pos/s  eta=29.5 min  written=159890 skipped=1110
  162000/592251  (27.4%)  rate=243.4 pos/s  eta=29.5 min  written=160878 skipped=1122
  163000/592251  (27.5%)  rate=243.4 pos/s  eta=29.4 min  written=161873 skipped=1127
  164000/592251  (27.7%)  rate=243.4 pos/s  eta=29.3 min  written=162873 skipped=1127
  165000/592251  (27.9%)  rate=243.3 pos/s  eta=29.3 min  written=163870 skipped=1130
  166000/592251  (28.0%)  rate=243.2 pos/s  eta=29.2 min  written=164866 skipped=1134
  167000/592251  (28.2%)  rate=243.1 pos/s  eta=29.1 min  written=165860 skipped=1140
  168000/592251  (28.4%)  rate=243.2 pos/s  eta=29.1 min  written=166856 skipped=1144
  169000/592251  (28.5%)  rate=243.2 pos/s  eta=29.0 min  written=167848 skipped=1152
  170000/592251  (28.7%)  rate=243.2 pos/s  eta=28.9 min  written=168845 skipped=1155
  172000/592251  (29.0%)  rate=243.0 pos/s  eta=28.8 min  written=170833 skipped=1167
  173000/592251  (29.2%)  rate=242.9 pos/s  eta=28.8 min  written=171827 skipped=1173
  174000/592251  (29.4%)  rate=242.9 pos/s  eta=28.7 min  written=172824 skipped=1176
  175000/592251  (29.5%)  rate=242.9 pos/s  eta=28.6 min  written=173819 skipped=1181
  177000/592251  (29.9%)  rate=243.1 pos/s  eta=28.5 min  written=175810 skipped=1190
  179000/592251  (30.2%)  rate=243.4 pos/s  eta=28.3 min  written=177795 skipped=1205
  181000/592251  (30.6%)  rate=243.8 pos/s  eta=28.1 min  written=179785 skipped=1215
  182000/592251  (30.7%)  rate=244.0 pos/s  eta=28.0 min  written=180780 skipped=1220
  183000/592251  (30.9%)  rate=244.0 pos/s  eta=28.0 min  written=181771 skipped=1229
  185000/592251  (31.2%)  rate=244.0 pos/s  eta=27.8 min  written=183753 skipped=1247
  186000/592251  (31.4%)  rate=244.1 pos/s  eta=27.7 min  written=184743 skipped=1257
  187000/592251  (31.6%)  rate=244.2 pos/s  eta=27.7 min  written=185736 skipped=1264
  189000/592251  (31.9%)  rate=244.3 pos/s  eta=27.5 min  written=187720 skipped=1280
  190000/592251  (32.1%)  rate=244.3 pos/s  eta=27.4 min  written=188715 skipped=1285
  192000/592251  (32.4%)  rate=244.4 pos/s  eta=27.3 min  written=190699 skipped=1301
  193000/592251  (32.6%)  rate=244.5 pos/s  eta=27.2 min  written=191695 skipped=1305
  195000/592251  (32.9%)  rate=244.0 pos/s  eta=27.1 min  written=193677 skipped=1323
  196000/592251  (33.1%)  rate=244.1 pos/s  eta=27.1 min  written=194671 skipped=1329
  197000/592251  (33.3%)  rate=244.1 pos/s  eta=27.0 min  written=195663 skipped=1337
  198000/592251  (33.4%)  rate=244.0 pos/s  eta=26.9 min  written=196658 skipped=1342
  199000/592251  (33.6%)  rate=244.1 pos/s  eta=26.9 min  written=197658 skipped=1342
  200000/592251  (33.8%)  rate=244.0 pos/s  eta=26.8 min  written=198655 skipped=1345
  201000/592251  (33.9%)  rate=244.1 pos/s  eta=26.7 min  written=199648 skipped=1352
  203000/592251  (34.3%)  rate=244.1 pos/s  eta=26.6 min  written=201631 skipped=1369
  204000/592251  (34.4%)  rate=244.0 pos/s  eta=26.5 min  written=202623 skipped=1377
  205000/592251  (34.6%)  rate=243.9 pos/s  eta=26.5 min  written=203615 skipped=1385
  206000/592251  (34.8%)  rate=243.8 pos/s  eta=26.4 min  written=204610 skipped=1390
  207000/592251  (35.0%)  rate=243.7 pos/s  eta=26.3 min  written=205605 skipped=1395
  208000/592251  (35.1%)  rate=243.7 pos/s  eta=26.3 min  written=206601 skipped=1399
  209000/592251  (35.3%)  rate=243.7 pos/s  eta=26.2 min  written=207595 skipped=1405
  211000/592251  (35.6%)  rate=243.7 pos/s  eta=26.1 min  written=209585 skipped=1415
  212000/592251  (35.8%)  rate=243.7 pos/s  eta=26.0 min  written=210578 skipped=1422
  214000/592251  (36.1%)  rate=243.7 pos/s  eta=25.9 min  written=212563 skipped=1437
  215000/592251  (36.3%)  rate=243.7 pos/s  eta=25.8 min  written=213561 skipped=1439
  216000/592251  (36.5%)  rate=243.7 pos/s  eta=25.7 min  written=214552 skipped=1448
  219000/592251  (37.0%)  rate=243.6 pos/s  eta=25.5 min  written=217527 skipped=1473
  221000/592251  (37.3%)  rate=243.9 pos/s  eta=25.4 min  written=219509 skipped=1491
  222000/592251  (37.5%)  rate=243.9 pos/s  eta=25.3 min  written=220501 skipped=1499
  224000/592251  (37.8%)  rate=244.0 pos/s  eta=25.2 min  written=222486 skipped=1514
  225000/592251  (38.0%)  rate=244.0 pos/s  eta=25.1 min  written=223477 skipped=1523
  226000/592251  (38.2%)  rate=244.0 pos/s  eta=25.0 min  written=224475 skipped=1525
  228000/592251  (38.5%)  rate=244.2 pos/s  eta=24.9 min  written=226455 skipped=1545
  230000/592251  (38.8%)  rate=244.3 pos/s  eta=24.7 min  written=228446 skipped=1554
  231000/592251  (39.0%)  rate=244.3 pos/s  eta=24.6 min  written=229441 skipped=1559
  233000/592251  (39.3%)  rate=244.2 pos/s  eta=24.5 min  written=231426 skipped=1574
  235000/592251  (39.7%)  rate=244.2 pos/s  eta=24.4 min  written=233414 skipped=1586
  236000/592251  (39.8%)  rate=244.2 pos/s  eta=24.3 min  written=234404 skipped=1596
  237000/592251  (40.0%)  rate=244.2 pos/s  eta=24.2 min  written=235396 skipped=1604
  238000/592251  (40.2%)  rate=244.3 pos/s  eta=24.2 min  written=236393 skipped=1607
  239000/592251  (40.4%)  rate=244.2 pos/s  eta=24.1 min  written=237386 skipped=1614
  241000/592251  (40.7%)  rate=244.3 pos/s  eta=24.0 min  written=239376 skipped=1624
  242000/592251  (40.9%)  rate=244.1 pos/s  eta=23.9 min  written=240371 skipped=1629
  243000/592251  (41.0%)  rate=244.2 pos/s  eta=23.8 min  written=241364 skipped=1636
  244000/592251  (41.2%)  rate=244.3 pos/s  eta=23.8 min  written=242358 skipped=1642
  245000/592251  (41.4%)  rate=244.3 pos/s  eta=23.7 min  written=243355 skipped=1645
  246000/592251  (41.5%)  rate=244.3 pos/s  eta=23.6 min  written=244349 skipped=1651
  247000/592251  (41.7%)  rate=244.4 pos/s  eta=23.5 min  written=245337 skipped=1663
  248000/592251  (41.9%)  rate=244.2 pos/s  eta=23.5 min  written=246330 skipped=1670
  249000/592251  (42.0%)  rate=244.1 pos/s  eta=23.4 min  written=247322 skipped=1678
  250000/592251  (42.2%)  rate=244.1 pos/s  eta=23.4 min  written=248316 skipped=1684
  251000/592251  (42.4%)  rate=243.9 pos/s  eta=23.3 min  written=249304 skipped=1696
  252000/592251  (42.5%)  rate=243.9 pos/s  eta=23.2 min  written=250297 skipped=1703
  253000/592251  (42.7%)  rate=243.9 pos/s  eta=23.2 min  written=251295 skipped=1705
  255000/592251  (43.1%)  rate=244.0 pos/s  eta=23.0 min  written=253271 skipped=1729
  257000/592251  (43.4%)  rate=243.8 pos/s  eta=22.9 min  written=255252 skipped=1748
  258000/592251  (43.6%)  rate=243.9 pos/s  eta=22.8 min  written=256244 skipped=1756
  259000/592251  (43.7%)  rate=243.7 pos/s  eta=22.8 min  written=257238 skipped=1762
  260000/592251  (43.9%)  rate=243.6 pos/s  eta=22.7 min  written=258233 skipped=1767
  261000/592251  (44.1%)  rate=243.6 pos/s  eta=22.7 min  written=259224 skipped=1776
  262000/592251  (44.2%)  rate=243.6 pos/s  eta=22.6 min  written=260221 skipped=1779
  263000/592251  (44.4%)  rate=243.6 pos/s  eta=22.5 min  written=261214 skipped=1786
  264000/592251  (44.6%)  rate=243.4 pos/s  eta=22.5 min  written=262204 skipped=1796
