input : /root/jass/jobs/results/0131-phase3-scan-bootstrap-full/artefacts.src/master-sample-1500K.jnnw (1500000 records, processing 187500 from offset 750000)
  171000/187500  (91.2%)  rate=201.2 pos/s  eta=1.4 min  skipped=32239
  172000/187500  (91.7%)  rate=201.1 pos/s  eta=1.3 min  skipped=32406
  173000/187500  (92.3%)  rate=201.1 pos/s  eta=1.2 min  skipped=32631
  174000/187500  (92.8%)  rate=201.1 pos/s  eta=1.1 min  skipped=32823
  175000/187500  (93.3%)  rate=201.0 pos/s  eta=1.0 min  skipped=32985
  176000/187500  (93.9%)  rate=200.9 pos/s  eta=1.0 min  skipped=33176
  177000/187500  (94.4%)  rate=200.9 pos/s  eta=0.9 min  skipped=33368
  178000/187500  (94.9%)  rate=200.9 pos/s  eta=0.8 min  skipped=33554
  179000/187500  (95.5%)  rate=200.9 pos/s  eta=0.7 min  skipped=33724
  180000/187500  (96.0%)  rate=200.9 pos/s  eta=0.6 min  skipped=33906
  181000/187500  (96.5%)  rate=200.8 pos/s  eta=0.5 min  skipped=34072
  182000/187500  (97.1%)  rate=200.8 pos/s  eta=0.5 min  skipped=34255
  183000/187500  (97.6%)  rate=200.7 pos/s  eta=0.4 min  skipped=34425
  184000/187500  (98.1%)  rate=200.8 pos/s  eta=0.3 min  skipped=34598
  185000/187500  (98.7%)  rate=200.7 pos/s  eta=0.2 min  skipped=34768
  186000/187500  (99.2%)  rate=200.7 pos/s  eta=0.1 min  skipped=34962
  187000/187500  (99.7%)  rate=200.7 pos/s  eta=0.0 min  skipped=35141
wrote /root/jass/jobs/results/0131-phase3-scan-bootstrap-full/artefacts.src/shard-4.jnnw (187500 records, 35228 skipped)
