input : /root/jass/jobs/results/0160-gen-more-data-3M/artefacts.src/selfplay-3M.jnnw (3000000 records, processing 375000 from offset 0, drop_skipped=True)
  128000/375000  (34.1%)  rate=202.8 pos/s  eta=20.3 min  written=115140 skipped=12860
  129000/375000  (34.4%)  rate=202.8 pos/s  eta=20.2 min  written=116040 skipped=12960
  130000/375000  (34.7%)  rate=202.8 pos/s  eta=20.1 min  written=116950 skipped=13050
  131000/375000  (34.9%)  rate=202.7 pos/s  eta=20.1 min  written=117850 skipped=13150
  132000/375000  (35.2%)  rate=202.8 pos/s  eta=20.0 min  written=118753 skipped=13247
  133000/375000  (35.5%)  rate=202.7 pos/s  eta=19.9 min  written=119647 skipped=13353
  134000/375000  (35.7%)  rate=202.8 pos/s  eta=19.8 min  written=120528 skipped=13472
  135000/375000  (36.0%)  rate=202.8 pos/s  eta=19.7 min  written=121439 skipped=13561
  136000/375000  (36.3%)  rate=202.7 pos/s  eta=19.7 min  written=122340 skipped=13660
  137000/375000  (36.5%)  rate=202.7 pos/s  eta=19.6 min  written=123239 skipped=13761
  138000/375000  (36.8%)  rate=202.7 pos/s  eta=19.5 min  written=124147 skipped=13853
  139000/375000  (37.1%)  rate=202.6 pos/s  eta=19.4 min  written=125044 skipped=13956
  140000/375000  (37.3%)  rate=202.7 pos/s  eta=19.3 min  written=125926 skipped=14074
  144000/375000  (38.4%)  rate=202.7 pos/s  eta=19.0 min  written=129570 skipped=14430
  145000/375000  (38.7%)  rate=202.8 pos/s  eta=18.9 min  written=130457 skipped=14543
  148000/375000  (39.5%)  rate=202.8 pos/s  eta=18.7 min  written=133155 skipped=14845
  149000/375000  (39.7%)  rate=202.8 pos/s  eta=18.6 min  written=134059 skipped=14941
  150000/375000  (40.0%)  rate=202.8 pos/s  eta=18.5 min  written=134971 skipped=15029
  151000/375000  (40.3%)  rate=202.9 pos/s  eta=18.4 min  written=135862 skipped=15138
  152000/375000  (40.5%)  rate=202.8 pos/s  eta=18.3 min  written=136766 skipped=15234
  153000/375000  (40.8%)  rate=202.9 pos/s  eta=18.2 min  written=137646 skipped=15354
  154000/375000  (41.1%)  rate=202.9 pos/s  eta=18.2 min  written=138548 skipped=15452
  155000/375000  (41.3%)  rate=202.9 pos/s  eta=18.1 min  written=139440 skipped=15560
