W:W25;26;29;31;33;34;36;37;38;39;41;43;46;49:B2;6;7;11;12;13;14;15;17;18;19;22;23;27,37-32-,29-24-,174,29-24-,183,29-24-,170,29-24-,198
W:W15;28;31;32;33;34;36;37;38;39;41;42;43;44;45;46;48:B3;4;6;7;8;9;10;11;13;16;17;18;19;21;22;25;26,45-40-,45-40-,-10,28-23-,-2,28-23-,10,28-23-,-3
W:W27;28;32;33;34;37;38;42;43;48:B6;11;13;14;16;18;19;21;23;24,37-31-,37-31-,-2,34-29-,62,37-31-,-2,37-31-,14
B:W23;24;28;29;32;34;36;37;39;42;43;44;45:B2;4;6;8;11;12;13;14;15;17;18;20;25,17-22-,17-22-,150,17-22-,152,17-22-,135,17-22-,157
W:W22;25;28;30;32;33;35;36;38;40;43;48:B3;4;6;8;9;13;14;16;19;21;23;24,40-34-,40-34-,-7,40-34-,0,40-34-,-7,40-34-,-1
W:W30;33;36;37;38;39;45;47:B8;9;18;19;20;22;27;28,36-31-,37-32-,33,30-24-,415,30-24-,279,30-24-,347
W:W24;28;29;33;34;36;38;39;40;42;47:B2;4;8;9;10;15;17;18;22;25;27,47-41-,38-32-,81,38-32-,129,38-32-,91,38-32-,122
W:W23;24;25;29;32;33;37;38;39:B3;4;8;12;13;14;15;18;26,32-27-,24-20-,101,32-27-,106,24-20-,112,24-20-,109
W:W34;35;39;40;45;48:B3;9;10;12;13;16;19;21;24;25;29;43,34-5-10.19.29,34-5-10.19.29,179,34-5-10.19.29,209,34-5-10.19.29,178,34-5-10.19.29,232
W:W24;27;29;32;33;34;35;36;37;39;40;43;45;46;47;49:B1;2;4;7;8;9;10;13;15;16;17;18;20;23;25;26,43-38-,34-30-,139,34-30-,135,34-30-,126,34-30-,146
W:W25;30;34;35;36;48:B4;6;7;8;9;10;13;15;18;20;22;23,25-1-7.8.9.20,25-1-7.8.9.20,46,25-1-7.8.9.20,48,25-1-7.8.9.20,47,25-1-7.8.9.20,47
W:W27;28;29;31;32;33;34;35;36;37;38;39;40;43;44;45;48:B2;3;6;7;9;11;12;13;14;15;16;18;19;20;21;24;25,28-23-,28-23-,189,28-23-,208,28-23-,189,28-23-,193
W:W27;28;32;33;34;35;37;38;39;40;45;46;47;48;49:B2;3;4;6;9;12;13;15;16;18;19;20;21;23;24,49-43-,28-22-,-2,49-43-,0,46-41-,-1,27-22-,42
W:W30;31;33;36;37;38;39;40;41;43;46;48;49:B2;7;8;9;13;14;16;19;22;23;26;27;28,40-35-,30-25-,-7,39-34-,150,39-34-,142,39-34-,134
W:W25;26;30;31;33;35;36;38;39;41;43;45;46;47;48;49:B1;2;3;4;7;11;12;13;14;15;17;18;22;23;27;28,45-40-,45-40-,-19,30-24-,-5,33-29-,-10,33-29-,-10
B:W23;24;27;29;32;33;37;38;40;45;47;49:B2;4;8;12;13;14;15;16;18;20;21;25,25-30-,25-30-,57,25-30-,52,25-30-,42,25-30-,57
W:W25;27;28;32;33;34;35;37;38;40;43;45;48:B6;9;11;12;13;14;15;16;18;19;21;23;24,34-30-,34-29-,2,27-22-,118,25-20-,58,25-20-,121
B:W25;27;30;31;32;35;36;37;38;39;42;43;45;48:B3;6;8;9;12;13;14;15;16;18;19;22;23;29,29-34-,12-17-,4,29-34-,49,29-34-,15,29-34-,46
B:W24;29;31;33;34;36;38;39;41;42;43;44;45;47;49:B1;2;3;4;7;9;13;15;16;17;18;22;23;25;27,3-8-,7-11-,15,27-32-,92,13-19-,57,13-19-,90
B:W25;28;30;31;32;33;34;35;36;37;39;40;41;42;43;45;46;47;48:B3;4;6;7;8;9;10;11;12;13;14;15;16;17;19;21;23;24;26,12-18-,13-18-,5,13-18-,0,13-18-,1,13-18-,2
W:W25;28;29;34;36;37;38;39;40;42;46;48;50:B2;4;8;9;10;11;13;14;16;18;21;27;30,29-23-,28-23-,3,29-23-,0,29-23-,12,29-24-,52
W:W25;26;28;31;33;41;48;49:B2;16;24;45,41-36-,41-36-,180,31-27-,187,31-27-,179,31-27-,178
W:W27;28;31;32;33;34;35;36;38;39;44;45;46;48:B1;3;6;7;8;10;11;13;16;18;19;23;24;25,48-43-,27-22-,68,27-22-,45,27-22-,68,27-22-,43
W:W34;36;39;40;44;45;49:B4;7;9;12;13;14;18;20;22;24;25;30;38,34-29-,34-29-,66,34-29-,114,34-29-,66,34-29-,102
W:W27;28;32;33;34;35;38;39;40;41;43;45;47;50:B1;7;8;9;13;14;15;16;17;19;21;23;24;25,34-30-,34-30-,7,34-30-,93,34-30-,107,34-30-,103
W:W22;28;30;31;32;33;34;35;38;40;42;43;44;45;48;49:B3;6;7;8;9;10;12;13;14;16;19;20;21;23;24;25,33-29-,31-27-,-1,33-29-,-14,31-27-,-7,33-29-,-1
W:W27;28;32;33;34;35;36;38;41;42;43;44;47;48:B3;6;7;8;10;12;16;17;18;19;20;23;24;26,41-37-,41-37-,0,35-30-,129,35-30-,153,35-30-,152
W:W27;28;30;32;33;34;35;36;37;38;39;42;48;49:B3;4;6;8;12;13;14;16;18;19;21;23;24;26,30-25-,30-25-,-2,30-25-,-3,30-25-,0,30-25-,-3
W:W25;27;28;32;33;35;37;38;39;40;45;48:B3;4;8;13;14;16;17;18;19;21;23;24,40-34-,40-34-,-20,40-34-,-15,48-42-,-18,40-34-,-19
W:W25;39;48:B9;12;13;14;15;18;20;22;33;38,39-10-12.13.14.22.33,39-10-12.13.14.22.33,81,39-10-12.13.14.22.33,186,39-10-12.13.14.22.33,134,39-10-12.13.14.22.33,160
W:W26;30;31;33;34;36;38;39;40;47;48;49:B2;3;11;12;13;14;15;17;19;22;23;27,30-25-,49-44-,-9,47-42-,-3,38-32-,7,38-32-,1
B:W25;29;30;35;36;37;38;39;40;47:B3;4;8;13;14;15;17;18;27;28,4-9-,18-22-,24,4-9-,25,4-9-,35,28-32-,64
B:W25;26;27;32;33;37;38;39;40;41;42;43;44;45:B3;6;8;10;11;12;13;15;16;17;18;20;21;23,23-28-,23-28-,150,23-28-,144,23-28-,155,23-28-,154
W:W26;31;33;34;35;36;37;38;39;42;43;48:B11;12;13;14;17;18;19;22;23;24;27;28,37-32-,35-30-,72,35-30-,121,35-30-,54,35-30-,118
W:W27;28;31;32;33;36;38;39;44;48:B3;7;12;13;14;17;18;19;23;24,27-22-,27-22-,270,27-22-,270,27-22-,277,27-22-,277
W:W25;26;30;31;32;33;35;36;38;39;42;44:B3;7;12;14;15;16;17;19;20;21;22;23,31-27-,33-28-,109,33-28-,107,33-28-,109,33-28-,112
W:W21;24;28;32;33;34;37:B9;12;13;17;18;26;27,28-22-,28-22-,49,28-22-,29975,28-22-,93,28-22-,109
W:W25;27;28;31;32;35;36;38;39;41;42;45;48;49:B3;4;6;8;11;12;13;14;15;16;19;23;24;26,25-20-,25-20-,5,25-20-,39,25-20-,5,25-20-,36
B:W24;28;29;31;32;33;36;37;38;40;41;42;43;44;45;46;48;49:B1;2;3;4;7;8;9;10;12;13;14;15;16;17;18;21;25;26,17-22-,17-22-,110,17-22-,76,17-22-,96,17-22-,66
B:W22;25;26;27;28;30;32;35;37;38;39;40:B8;11;12;13;14;15;17;19;20;23;24;29,12-18-,13-18-,54,13-18-,316,13-18-,109,13-18-,224
W:W27;32;37;42;43;48:B6;11;13;14;16;18;21;24;28;34,32-12-18.28,32-12-18.28,67,32-12-18.28,96,32-12-18.28,63,32-12-18.28,74
W:W26;28;31;33;35;36;39;40;42;43;44;45;47;48;49;50:B1;2;3;4;5;7;9;10;12;13;17;18;19;22;24;27,40-34-,40-34-,1,26-21-,95,26-21-,90,26-21-,83
W:W28;29;33;35;36;37;38;39;40;41;43;45;48;49:B2;6;8;9;11;12;13;14;15;18;19;20;21;24,29-23-,29-23-,114,29-23-,114,29-23-,118,29-23-,116
W:W25;26;29;30;34;35;36;39;42;43;44;46;47;49:B2;3;4;6;7;12;13;14;15;17;18;22;27;28,29-24-,44-40-,-8,36-31-,84,25-20-,61,25-20-,74
W:W24;26;33;39;40;42;47:B2;4;8;9;10;15;17;18;22;32;38,24-20-,24-20-,116,24-20-,127,26-21-,90,24-20-,137
W:W27;28;29;32;33;34;35;37;39;40;42;44;45:B8;9;11;13;14;15;16;19;20;21;24;25;26,28-23-,28-23-,6,27-22-,45,27-22-,29,27-22-,49
W:W27;28;32;33;34;35;36;37;38;39;40;43;45;47;48:B2;3;8;9;10;13;16;17;18;19;21;23;24;25;26,47-42-,34-30-,14,34-30-,8,47-42-,23,47-42-,7
W:W29;31;32;33;34;35;39;43;44;46;47;48;49:B3;4;7;8;12;15;18;19;20;21;22;24;25,31-26-,33-28-,13,31-27-,40,31-27-,33,31-27-,43
W:W27;28;32;33;34;37;38;40;41;44;45:B6;10;12;13;16;18;19;23;24;25;26,27-22-,27-22-,117,27-22-,175,27-22-,126,27-22-,149
W:W27;28;30;32;33;34;35;37;40;41;42;43;45;46;47;48;49;50:B1;2;3;4;6;8;9;10;11;13;14;16;18;19;23;24;25;26,34-29-,43-38-,-2,27-21-,62,27-21-,130,27-21-,76
W:W24;26;28;29;33;36;38;47;48;49:B6;8;9;10;13;15;16;17;18;20,28-23-,28-22-,151,28-22-,125,28-22-,134,28-22-,146
W:W25;26;28;30;31;33;34;35;36;38;39;41;42;44;47;48;49:B4;6;7;8;9;10;11;13;14;15;16;17;18;19;22;24;27,49-43-,25-20-,11,42-37-,0,42-37-,0,25-20-,58
W:W24;27;29;33;34;36;38;39;40;43;45;47;48;49:B2;4;6;7;8;9;10;13;15;16;17;19;20;25,40-35-,40-35-,-9,40-35-,-39,27-21-,96,27-21-,79
